/scratch/zr2245/anaconda3/envs/gs/bin/python
2.2.0+cu118
True
Running on host: gl012.hpc.nyu.edu
CUDA_VISIBLE_DEVICES=0
Using python: /scratch/zr2245/anaconda3/envs/gs/bin/python
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000904
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 70
  train_model_bits   = 0.606071
  val_model_bits     = 0.601486
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003317
  sig_model_bits     = 0.523260
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004365
  gt1_model_bits     = 0.704885
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001933
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 71
  train_model_bits   = 0.605859
  val_model_bits     = 0.601883
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002920
  sig_model_bits     = 0.523566
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004058
  gt1_model_bits     = 0.705402
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001416
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 72
  train_model_bits   = 0.605647
  val_model_bits     = 0.601477
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003326
  sig_model_bits     = 0.523038
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004587
  gt1_model_bits     = 0.705159
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001659
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 73
  train_model_bits   = 0.605454
  val_model_bits     = 0.601940
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002862
  sig_model_bits     = 0.523840
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003785
  gt1_model_bits     = 0.705175
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001643
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 74
  train_model_bits   = 0.605479
  val_model_bits     = 0.602028
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002775
  sig_model_bits     = 0.523926
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003698
  gt1_model_bits     = 0.705263
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001555
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 75
  train_model_bits   = 0.605201
  val_model_bits     = 0.601924
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002878
  sig_model_bits     = 0.523585
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004040
  gt1_model_bits     = 0.705474
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001344
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 76
  train_model_bits   = 0.605548
  val_model_bits     = 0.601695
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003108
  sig_model_bits     = 0.523163
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004461
  gt1_model_bits     = 0.705499
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001319
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 77
  train_model_bits   = 0.605185
  val_model_bits     = 0.601948
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002855
  sig_model_bits     = 0.523428
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004196
  gt1_model_bits     = 0.705735
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001082
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 78
  train_model_bits   = 0.605382
  val_model_bits     = 0.602410
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002393
  sig_model_bits     = 0.523710
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003915
  gt1_model_bits     = 0.706435
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000383
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 79
  train_model_bits   = 0.604740
  val_model_bits     = 0.602198
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002605
  sig_model_bits     = 0.523867
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003757
  gt1_model_bits     = 0.705737
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001081
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 80
  train_model_bits   = 0.604694
  val_model_bits     = 0.601713
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003090
  sig_model_bits     = 0.523344
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004280
  gt1_model_bits     = 0.705301
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001516
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 81
  train_model_bits   = 0.604710
  val_model_bits     = 0.602807
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001995
  sig_model_bits     = 0.524944
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002680
  gt1_model_bits     = 0.705727
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001090
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 82
  train_model_bits   = 0.604986
  val_model_bits     = 0.602373
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002430
  sig_model_bits     = 0.524515
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003109
  gt1_model_bits     = 0.705285
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001533
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 83
  train_model_bits   = 0.604599
  val_model_bits     = 0.602039
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002764
  sig_model_bits     = 0.523644
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003980
  gt1_model_bits     = 0.705662
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001156
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 84
  train_model_bits   = 0.604307
  val_model_bits     = 0.601953
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002850
  sig_model_bits     = 0.523819
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003805
  gt1_model_bits     = 0.705231
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001587
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 85
  train_model_bits   = 0.604267
  val_model_bits     = 0.601841
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002962
  sig_model_bits     = 0.523675
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003950
  gt1_model_bits     = 0.705161
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001656
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 86
  train_model_bits   = 0.603972
  val_model_bits     = 0.602006
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002797
  sig_model_bits     = 0.523703
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003921
  gt1_model_bits     = 0.705506
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001312
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 87
  train_model_bits   = 0.603938
  val_model_bits     = 0.603163
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001640
  sig_model_bits     = 0.525574
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002051
  gt1_model_bits     = 0.705720
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001098
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 88
  train_model_bits   = 0.603934
  val_model_bits     = 0.602261
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002542
  sig_model_bits     = 0.523962
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003663
  gt1_model_bits     = 0.705757
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001061
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 89
  train_model_bits   = 0.603841
  val_model_bits     = 0.602210
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002593
  sig_model_bits     = 0.523960
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003665
  gt1_model_bits     = 0.705641
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001176
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 90
  train_model_bits   = 0.603855
  val_model_bits     = 0.602023
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002779
  sig_model_bits     = 0.523679
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003946
  gt1_model_bits     = 0.705580
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001238
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 91
  train_model_bits   = 0.603575
  val_model_bits     = 0.602011
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002792
  sig_model_bits     = 0.523615
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004010
  gt1_model_bits     = 0.705635
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001182
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 92
  train_model_bits   = 0.603505
  val_model_bits     = 0.602746
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002057
  sig_model_bits     = 0.524358
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003266
  gt1_model_bits     = 0.706360
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000458
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 93
  train_model_bits   = 0.603491
  val_model_bits     = 0.602769
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002033
  sig_model_bits     = 0.524219
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003406
  gt1_model_bits     = 0.706598
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000220
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 94
  train_model_bits   = 0.603318
  val_model_bits     = 0.601995
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002808
  sig_model_bits     = 0.523770
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003855
  gt1_model_bits     = 0.705394
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001424
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 95
  train_model_bits   = 0.603231
  val_model_bits     = 0.602492
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002311
  sig_model_bits     = 0.524011
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003613
  gt1_model_bits     = 0.706228
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000589
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 96
  train_model_bits   = 0.603023
  val_model_bits     = 0.602342
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002460
  sig_model_bits     = 0.524083
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003542
  gt1_model_bits     = 0.705786
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001031
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 97
  train_model_bits   = 0.603023
  val_model_bits     = 0.602372
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002431
  sig_model_bits     = 0.524208
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003417
  gt1_model_bits     = 0.705689
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001128
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 98
  train_model_bits   = 0.603014
  val_model_bits     = 0.603050
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001753
  sig_model_bits     = 0.524864
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002761
  gt1_model_bits     = 0.706396
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000421
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 99
  train_model_bits   = 0.602817
  val_model_bits     = 0.603291
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001511
  sig_model_bits     = 0.524966
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002659
  gt1_model_bits     = 0.706823
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.000005
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 100
  train_model_bits   = 0.602922
  val_model_bits     = 0.603024
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001779
  sig_model_bits     = 0.524006
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003619
  gt1_model_bits     = 0.707471
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.000653
  n_total=136009  n_sig=77430  n_gt1=58579
saved model.
End time: Fri Mar  6 12:22:21 AM EST 2026
